grid_index,mtry,trees,min_n,mse_mean,mse_se,mae_mean,mae_se
24,16,1144,3,0.0630574562795653,0.0304464335072577,0.0214778593369276,0.00220322077268022
25,12,1661,3,0.0616255921523859,0.0289961642392699,0.0217235050653077,0.00232428065970156
26,19,963,5,0.0719823619487371,0.0344534482942312,0.0215408588329656,0.00217714744909803
27,18,1342,6,0.0708667291240952,0.034249912564287,0.0215962386351556,0.0022066615769894
28,20,1498,7,0.0700661193750155,0.0316431587932097,0.0216596834064261,0.00222959891418109
29,16,1420,1,0.068499900978232,0.0316065015434315,0.0214256604456422,0.00216195375130916
30,3,2015,2,0.0672111782550799,0.0377094669470733,0.0218299134802081,0.00281930945301185
31,11,1403,6,0.0591601614852784,0.0285223986416914,0.0219202680366197,0.00233068310909686
32,20,1620,7,0.0694630495914486,0.0320095278940214,0.0218468125640402,0.00220923858343332
33,22,1012,7,0.076003812195638,0.0339926814326745,0.0216360652226159,0.00223168698953721
34,8,910,3,0.0553573519807949,0.0270342085747885,0.0216355089088255,0.00238607113665582
35,23,1883,2,0.0812831202345004,0.0380984609035343,0.021182597686537,0.00218035517080397
36,5,689,4,0.0642458611245127,0.032458978029647,0.021996197645856,0.00257870189064592
37,10,1409,6,0.055784839603354,0.026554937693832,0.0221176941603179,0.00242041119023756
38,23,1048,5,0.0782048461720416,0.0364623082329111,0.0213075887970204,0.0021745824480965
39,15,2067,2,0.0617747144614947,0.0312417580548684,0.0214934664353527,0.00227295562199606
40,17,562,1,0.0636986797035822,0.030764339973178,0.0212888859319395,0.00222974567272674
41,9,1137,4,0.0592716356653944,0.030321183358129,0.0218619855464169,0.00243154344085278
42,10,1002,3,0.0572288505092172,0.0280192886982496,0.0217695029712061,0.00243110279181787
43,17,751,4,0.0670541127654778,0.0306515496532932,0.0215600551616941,0.00220204878329478
44,19,1803,4,0.067309132612156,0.0318976221191064,0.0215560311097532,0.00218830128118899
45,18,1863,7,0.0731760523809631,0.0351893725764548,0.021736639641619,0.00222736397045047
46,22,1574,5,0.0773870163829421,0.0357811242047363,0.0213490386801515,0.00219446420256757
47,6,877,5,0.0661907640310363,0.0316214191538158,0.0219841269064757,0.00250839148126723
48,16,491,3,0.0678556387535878,0.032679995958496,0.0212431857464305,0.0021344115309833
49,5,1574,5,0.059866403889876,0.0308412275064171,0.0221385098317465,0.00265042396392267
50,9,1099,2,0.0597282458179998,0.0309315964967698,0.0216122586774552,0.00231744338636597
51,17,898,6,0.0750921413354143,0.0381731345460025,0.0218168586619788,0.00226099717330107
52,15,998,8,0.0657570748188434,0.0332904420556839,0.0219962951968343,0.00224299746792675
53,7,1236,1,0.060654669424205,0.0306510100783563,0.0215672086680188,0.00241681239448956
54,21,1414,7,0.0745584084546416,0.0338492225912622,0.02145341392971,0.00214220118805363
55,10,2097,7,0.0622254267777262,0.0312226053676472,0.0220453635156684,0.00239361366873383
56,19,1986,8,0.0680386692003173,0.0320316257969241,0.0218054651057126,0.00219756718096264
57,15,523,5,0.0633242061947236,0.0300338951153682,0.0218829545400384,0.00225710178765229
